strategy,gamma,fills,inventory,turnover,fees,equity_pnl,max_drawdown,return_over_maxdd,inv_max_abs
as,1,173927,486617,1.27791e+06,127.791,1458.5,413.911,3.5237,675322
as,10,173922,483617,1.27787e+06,127.787,1468.36,408.793,3.59195,672322
as,50,173926,481114,1.27791e+06,127.791,1476.59,404.523,3.65021,669819
as,100,173921,480141,1.27788e+06,127.788,1479.81,402.863,3.67323,668846
as,500,173921,478255,1.27789e+06,127.789,1486.04,399.646,3.71838,666960
as,2000,182319,480550,1.34211e+06,134.211,1919.23,471.73,4.0685,703359
microprice_as,1,173841,918840,1.27443e+06,127.443,1165.12,1023.36,1.13853,1.05431e+06
microprice_as,10,173837,912840,1.27441e+06,127.441,1184.89,1012.49,1.17028,1.04831e+06
microprice_as,50,173834,910840,1.27441e+06,127.441,1191.51,1008.86,1.18104,1.04631e+06
microprice_as,100,173841,908777,1.27443e+06,127.443,1198.32,1005.12,1.19221,1.04425e+06
microprice_as,500,173841,909931,1.27442e+06,127.442,1194.36,1007.21,1.1858,1.0454e+06
microprice_as,2000,174718,898325,1.28029e+06,128.029,1330.63,941.302,1.4136,1.04566e+06
as_online,1,295554,30525,2.18879e+06,218.879,-328.636,335.179,-0.980478,100967
as_online,10,296149,-3878,2.19317e+06,219.317,-397.329,397.768,-0.998897,100154
as_online,50,292612,-3427,2.16824e+06,216.824,-435.916,435.964,-0.999891,38846
as_online,100,287789,-2240,2.13836e+06,213.836,-435.871,435.935,-0.999855,31012
as_online,500,260181,-3262,1.95244e+06,195.244,-396.405,396.45,-0.999886,21337
as_online,2000,195396,-126,1.49105e+06,149.105,-285.17,285.186,-0.999945,13514
microprice_as_online,1,276604,26613,2.05861e+06,205.861,-339.997,347.507,-0.978388,100987
microprice_as_online,10,277254,8496,2.06737e+06,206.737,-368.393,369.542,-0.99689,99709
microprice_as_online,50,274511,-701,2.05043e+06,205.043,-411.178,411.357,-0.999565,44108
microprice_as_online,100,271461,-3925,2.02873e+06,202.873,-409.095,409.166,-0.999827,31621
microprice_as_online,500,248813,-5594,1.87698e+06,187.698,-367.998,368.066,-0.999815,24832
microprice_as_online,2000,188554,-973,1.44267e+06,144.267,-261.59,261.614,-0.99991,14493
